attendance,study_hours,quiz_score,assignment_score,previous_gpa,pass
48,2,21,99,9.02,0
47,9,60,88,7.29,1
51,7,74,29,5.14,0
73,9,35,44,8.32,1
72,6,81,87,7.07,1
87,6,67,80,7.63,1
94,4,49,48,6.77,0
62,2,31,38,8.97,0
63,7,54,62,8.98,1
76,5,30,85,8.26,1
74,6,83,93,4.63,1
83,2,69,80,9.03,1
79,5,40,62,8.03,1
61,4,88,44,8.18,1
66,9,67,39,6.18,1
74,6,39,67,9.28,1
40,2,86,43,8.35,0
74,1,63,30,4.68,0
76,5,52,74,6.45,1
86,9,92,47,9.32,1
53,6,80,88,4.28,0
42,7,28,82,9.77,1
40,5,87,78,8.07,1
44,6,54,24,7.79,0
65,5,84,70,5.62,0
94,9,27,40,5.49,1
53,6,64,31,9.65,1
78,8,66,69,5.79,1
66,2,59,23,8.65,0
48,9,95,61,6.36,1
54,5,73,57,4.84,0
54,7,95,44,4.06,0
65,1,65,33,7.27,0
81,5,66,94,9.85,1
99,2,34,51,6.21,0
52,6,38,30,6.14,0
90,1,45,80,6.06,0
71,3,71,37,7.12,0
78,5,41,46,6.64,0
88,4,40,74,9.28,1
91,3,70,73,7.03,1
71,5,57,94,7.05,1
43,8,39,40,4.83,0
69,4,48,63,9.9,1
76,1,70,24,5.5,0
62,7,23,60,4.44,0
78,8,74,78,7.98,1
84,3,90,73,7.57,1
54,6,47,93,6.49,1
82,2,23,41,6.53,0
68,7,41,84,8.71,1
75,8,95,83,5.17,1
52,6,64,90,8.92,1
71,6,86,23,7.89,1
46,5,85,84,6.51,1
98,8,53,34,6.75,1
90,1,74,95,5.54,0
61,4,20,41,8.51,0
67,4,91,66,7.08,1
41,3,57,65,5.93,0
81,3,25,33,7.58,0
84,4,44,69,9.97,1
96,1,36,39,6.61,0
92,2,80,69,9.52,1
45,9,31,52,6.07,0
67,2,25,78,4.33,0
67,5,46,62,5.23,0
83,9,27,98,6.51,1
83,9,84,31,5.32,1
59,8,76,59,4.0,0
69,1,59,39,9.49,0
50,1,33,57,9.06,0
97,9,54,22,8.45,1
94,8,67,47,5.01,1
67,9,75,75,4.72,1
64,7,68,32,4.41,0
78,3,32,96,8.34,1
72,3,80,85,9.57,1
40,2,68,56,6.58,0
96,5,65,68,4.71,0
66,3,81,85,7.07,1
96,6,27,55,6.09,0
91,2,62,73,6.25,0
52,3,39,45,7.73,0
80,5,58,94,8.31,1
42,1,68,91,4.66,0
78,1,83,59,4.21,0
45,9,81,62,9.97,1
47,7,73,41,5.4,0
66,1,28,39,4.32,0
48,8,56,27,5.14,0
76,3,68,48,4.23,0
72,8,60,59,6.35,1
90,5,36,49,8.81,1
81,1,40,74,6.05,0
83,7,70,35,6.67,1
63,5,78,65,8.05,1
54,6,58,81,7.05,1
98,6,74,26,9.17,1
93,8,60,99,9.2,1
71,9,58,64,4.06,1
71,2,32,78,8.67,0
63,9,83,75,6.76,1
80,9,30,67,9.93,1
91,7,38,46,6.9,1
88,1,30,72,9.92,1
88,7,96,92,8.53,1
97,5,65,54,5.49,1
91,6,64,70,7.23,1
51,7,20,56,9.95,1
78,5,59,76,9.15,1
41,7,38,27,4.58,0
42,9,95,98,8.24,1
88,3,91,39,6.07,0
76,8,91,72,4.04,1
88,2,80,31,6.42,0
95,7,31,68,5.41,1
56,2,80,36,8.91,0
98,4,52,83,6.02,1
88,7,64,61,8.97,1
41,3,88,48,4.0,0
41,2,27,38,5.85,0
67,7,44,30,5.45,0
93,1,65,69,5.4,0
62,8,49,90,4.41,1
76,3,66,77,5.12,0
71,2,68,53,7.33,0
72,3,66,39,5.75,0
40,5,37,69,6.5,0
58,8,85,29,6.26,1
41,7,87,51,9.26,1
92,7,52,71,9.43,1
83,7,55,34,6.96,1
65,8,38,22,5.98,0
71,1,47,56,4.64,0
45,4,59,59,9.72,1
71,6,95,91,4.36,1
94,9,34,59,5.79,1
43,2,60,75,5.79,0
94,1,58,42,5.92,0
50,2,21,30,4.99,0
95,7,82,83,8.7,1
98,3,48,27,4.73,0
56,2,93,75,7.81,1
77,7,85,79,4.74,1
63,2,70,29,4.42,0
44,3,94,58,9.46,1
91,7,96,47,5.14,1
73,4,29,68,8.93,1
45,1,33,55,7.27,0
61,5,70,32,4.47,0
50,9,92,55,9.73,1
87,8,58,45,5.48,1
55,9,47,23,9.16,1
72,9,22,83,5.01,1
48,7,89,57,9.12,1
99,4,46,41,4.08,0
98,5,21,21,7.07,0
45,1,57,50,8.62,0
55,1,22,30,9.61,0
68,3,35,65,9.46,0
42,8,59,81,8.92,1
59,2,21,88,9.33,0
99,4,60,83,5.2,1
98,2,31,29,5.71,0
75,5,54,59,5.73,0
58,9,84,43,6.26,1
65,1,74,63,6.36,0
42,5,64,79,7.27,0
58,9,98,81,4.96,1
59,1,81,36,8.15,0
71,9,68,84,5.01,1
46,8,44,76,5.86,0
91,4,42,74,7.02,1
80,5,43,72,8.78,1
72,5,57,75,8.44,1
79,6,47,28,7.87,0
78,7,40,41,4.93,0
57,8,73,32,7.28,1
79,8,37,67,4.52,0
40,2,55,37,6.26,0
50,9,64,95,6.48,1
67,7,92,59,4.24,1
96,4,72,36,5.64,0
64,4,49,34,9.73,0
89,8,79,34,9.72,1
62,4,51,98,6.11,0
70,6,86,82,4.26,1
69,5,86,58,5.07,0
81,3,47,32,6.35,0
74,2,63,51,9.69,1
46,9,98,28,4.85,0
99,9,60,59,8.58,1
55,1,82,39,4.65,0
65,3,42,96,9.89,1
87,8,94,99,6.29,1
96,6,67,92,8.65,1
91,5,51,82,6.06,1
99,5,76,95,7.77,1
88,6,52,63,5.15,0
41,7,43,57,4.88,0
40,1,58,79,9.63,0
87,9,53,90,9.51,1
51,3,75,67,9.32,1
44,4,47,37,7.75,0
76,1,56,35,8.85,0
71,3,26,74,4.41,0
98,2,87,58,6.01,0
94,2,56,87,5.88,0
48,1,75,78,7.81,0
80,8,84,81,6.14,1
74,3,84,32,4.89,0
58,3,66,25,7.58,0
87,6,39,96,8.89,1
55,8,38,79,6.29,1
42,9,48,33,4.79,0
59,9,93,73,5.18,1
63,4,79,23,5.42,0
93,5,37,58,5.8,0
95,2,54,91,7.86,1
72,9,62,44,7.61,1
63,8,30,96,8.18,1
91,3,68,51,6.18,0
50,9,57,78,8.94,1
88,3,83,82,5.22,1
47,9,88,57,6.81,1
75,2,27,72,8.81,0
77,9,53,86,5.08,1
79,8,67,47,4.66,1
59,9,75,22,9.3,1
74,5,95,99,6.06,1
87,2,84,41,8.1,1
64,8,50,57,4.15,0
74,6,23,91,8.14,1
64,8,69,91,5.9,1
68,5,88,81,4.33,0
57,2,49,76,7.66,0
85,6,78,25,5.44,0
57,5,86,97,6.32,1
41,5,94,51,4.48,0
93,1,64,29,4.88,0
74,2,23,22,5.79,0
55,8,45,78,4.54,0
80,3,46,95,9.46,1
75,3,65,68,4.04,0
72,8,83,78,6.9,1
43,8,70,50,4.74,0
72,2,69,88,5.85,0
53,8,25,81,9.56,1
60,1,78,71,4.97,0
87,6,34,60,9.79,1
59,8,49,50,5.23,0
95,3,61,41,8.45,1
47,8,56,23,7.28,0
46,1,61,32,9.31,0
42,9,54,64,7.32,1
56,9,25,61,7.21,1
72,5,87,68,5.17,0
87,4,37,39,5.0,0
51,6,92,96,9.5,1
98,7,48,73,5.97,1
90,5,96,55,6.23,1
61,9,78,20,8.56,1
94,3,66,34,6.03,0
61,7,36,96,9.71,1
85,5,41,36,8.43,1
69,7,87,43,7.58,1
77,2,88,77,9.29,1
77,4,56,91,4.3,0
84,2,68,42,5.54,0
90,7,32,65,6.79,1
93,2,53,91,5.36,0
47,1,72,27,8.46,0
66,9,70,78,9.52,1
66,1,22,78,6.54,0
73,8,61,32,6.05,1
60,2,51,58,9.77,0
69,8,70,47,6.67,1
72,3,65,80,6.93,0
67,6,40,35,6.11,0
86,3,63,21,9.46,1
72,7,30,36,7.41,0
44,9,87,49,8.57,1
99,2,20,32,8.87,0
87,5,82,32,6.05,0
58,6,43,62,6.6,0
43,4,32,40,9.09,0
74,4,30,74,6.18,0
88,4,70,59,8.76,1
56,2,36,34,9.65,0
83,4,43,92,7.74,1
67,1,38,71,8.45,0
69,6,56,93,8.83,1
68,1,27,72,9.07,0
85,6,47,71,6.37,1
92,1,24,49,4.31,0
45,6,36,52,6.41,0
74,8,55,76,8.04,1
99,2,38,71,6.7,0
80,2,83,28,8.49,0
76,4,30,73,6.14,0
63,3,73,20,7.81,0
68,4,64,63,5.12,0
88,7,66,94,8.5,1
85,1,31,99,7.27,0
92,6,40,28,5.22,0
70,3,30,51,5.75,0
74,7,24,34,8.49,1
99,2,75,31,6.9,0
72,2,39,97,5.3,0
91,4,60,76,9.8,1
60,1,65,27,8.29,0
71,3,31,91,9.74,1
62,9,89,46,6.56,1
72,7,36,81,6.85,1
42,7,38,31,9.39,0
57,4,45,84,7.15,0
64,2,67,61,8.24,0
81,4,71,81,5.51,0
70,6,89,30,6.68,1
93,3,74,62,4.74,0
97,1,94,36,5.24,0
42,8,52,51,4.01,0
79,5,81,59,4.24,0
85,5,42,42,9.86,1
63,4,34,75,5.45,0
89,6,46,25,7.98,1
71,3,94,69,9.03,1
86,9,83,56,7.3,1
61,5,70,83,4.92,0
62,3,72,73,8.37,1
41,1,97,91,7.6,0
66,6,70,68,8.39,1
81,2,66,30,8.62,0
41,3,23,68,9.85,0
65,1,26,40,7.44,0
56,9,54,85,6.05,1
79,8,67,82,7.89,1
72,2,92,47,4.41,0
48,8,91,36,9.38,1
82,9,64,25,4.72,0
93,1,91,38,5.97,0
87,5,38,75,8.89,1
78,8,82,47,7.58,1
68,2,57,85,6.36,0
81,4,86,57,6.84,1
94,7,78,56,9.13,1
65,3,88,87,6.04,0
74,5,32,68,9.22,1
89,8,66,62,4.53,1
64,3,80,55,8.66,1
63,4,50,77,9.09,1
52,9,99,32,5.09,1
99,7,41,71,6.58,1
97,1,62,77,4.99,0
46,4,86,51,8.24,0
96,4,73,79,7.21,1
75,9,29,77,7.81,1
84,6,61,75,5.18,1
59,9,83,47,5.27,1
40,6,40,20,4.25,0
47,6,99,61,5.93,1
85,5,95,67,7.36,1
55,5,85,59,9.15,1
53,2,60,82,8.0,0
51,8,43,95,6.61,1
90,8,54,91,9.72,1
62,1,75,99,8.32,1
54,8,49,23,9.58,1
67,5,76,57,7.17,1
73,2,66,46,5.55,0
41,2,54,28,4.32,0
71,6,38,35,8.36,0
62,9,27,75,4.73,0
61,1,45,95,5.82,0
90,6,90,50,7.19,1
64,9,49,33,7.39,1
97,8,26,44,7.6,1
61,6,86,53,5.0,0
97,3,84,86,6.28,1
97,8,55,43,7.7,1
61,9,44,92,9.82,1
88,1,56,45,8.37,0
91,9,20,39,9.54,1
81,6,34,83,8.57,1
45,6,56,29,7.55,0
54,4,32,86,5.15,0
93,1,27,43,8.0,0
82,8,24,24,7.74,1
99,2,79,86,7.61,1
76,1,92,77,6.94,0
72,2,20,46,7.17,0
47,1,55,99,6.01,0
92,1,54,34,7.12,0
99,9,85,54,5.19,1
83,1,82,95,8.83,1
83,4,42,72,5.11,0
44,6,28,63,4.51,0
78,7,53,45,6.62,1
43,2,65,66,7.95,0
45,6,97,53,6.63,1
84,7,23,69,5.66,0
71,2,49,31,7.35,0
91,2,94,23,6.08,0
69,7,91,67,9.6,1
86,1,22,74,9.54,0
74,8,33,20,7.01,0
94,3,79,85,5.97,1
79,6,96,49,8.42,1
91,9,64,22,4.22,0
55,6,53,40,6.85,0
52,9,64,68,6.02,1
89,7,80,81,9.52,1
99,9,35,57,4.07,1
81,2,85,34,7.32,0
69,8,59,71,8.44,1
58,8,36,98,6.91,1
56,2,53,65,4.51,0
95,4,35,44,9.83,1
58,7,79,40,7.11,1
67,4,85,24,7.69,0
97,4,85,89,5.42,1
94,6,32,66,6.9,1
65,6,75,87,6.57,1
76,3,50,37,4.45,0
65,9,53,40,4.64,0
92,2,58,42,9.02,1
62,6,86,83,5.44,1
48,7,27,86,5.17,0
51,9,97,59,7.03,1
92,3,74,29,8.61,1
40,3,46,71,4.37,0
97,7,72,91,7.46,1
97,4,58,94,4.72,1
40,8,84,80,4.22,0
86,7,36,83,4.32,0
73,5,49,24,9.0,0
71,7,72,72,4.71,1
93,3,32,74,4.27,0
87,2,40,56,6.63,0
64,6,38,75,9.06,1
79,2,72,78,5.57,0
84,3,38,88,6.53,0
92,6,76,92,4.24,1
40,5,44,78,6.69,0
55,8,50,21,7.47,0
78,9,74,84,7.43,1
44,3,42,79,5.99,0
61,3,51,70,5.89,0
68,3,81,49,4.64,0
94,6,93,30,6.2,1
42,1,29,95,4.6,0
51,7,91,58,8.6,1
65,1,73,96,9.8,1
55,5,71,91,9.82,1
90,8,39,82,9.19,1
76,4,51,83,7.6,1
61,5,33,80,8.21,1
96,4,69,73,5.71,1
68,4,47,92,7.78,1
53,8,72,77,6.73,1
67,2,43,75,6.89,0
44,1,98,53,8.55,0
86,3,41,50,5.69,0
88,9,49,71,5.91,1
69,4,82,95,9.55,1
85,5,23,20,4.34,0
91,2,96,74,6.91,1
44,4,78,41,9.48,0
51,2,27,59,7.66,0
55,2,31,20,7.28,0
65,4,50,84,5.5,0
65,6,97,82,6.06,1
87,7,53,73,9.11,1
60,3,94,61,7.36,0
78,3,95,40,7.09,0
75,6,68,98,4.6,1
72,3,98,41,4.1,0
69,2,76,57,9.78,1
76,8,45,99,6.26,1
62,5,37,27,7.62,0
97,1,57,81,4.48,0
49,3,69,66,8.1,0
93,8,27,36,9.6,1
44,4,60,36,7.45,0
75,7,25,32,4.76,0
73,2,88,36,7.49,0
91,7,63,57,8.6,1
70,5,83,97,6.44,1
49,5,48,64,9.28,1
97,6,47,25,7.89,1
58,9,30,54,9.4,1
97,6,84,33,7.74,1
71,8,38,91,4.79,1
40,7,28,80,5.86,0
95,9,46,34,5.21,1
44,4,53,73,9.45,1
84,2,63,46,8.56,0
43,7,87,32,8.06,1
55,6,34,50,5.81,0
63,1,70,54,5.1,0
55,9,32,79,8.54,1
94,9,68,25,6.84,1
41,2,89,88,5.35,0
88,3,75,77,7.7,1
67,5,95,68,4.24,0
71,5,70,42,5.96,0
66,1,56,53,6.81,0
59,8,36,45,4.89,0
63,8,77,66,9.91,1
51,4,48,24,5.25,0
89,7,52,39,4.78,0
74,3,79,25,5.22,0
99,6,74,89,8.61,1
72,9,29,78,6.55,1
72,1,66,83,7.39,0
90,5,42,37,4.13,0
82,4,40,23,4.21,0
76,8,32,36,6.67,0
51,1,52,33,8.9,0
42,9,43,97,9.31,1
40,6,30,32,4.52,0
72,4,36,26,7.23,0
79,9,87,63,9.48,1
49,5,66,34,6.33,0
82,5,44,38,8.98,1
83,5,92,82,4.8,1
68,1,40,54,9.61,0
52,1,31,54,8.51,0
51,8,56,38,9.65,1
70,8,61,39,8.06,1
85,6,36,54,6.18,0
41,4,67,51,9.63,0
90,2,47,67,5.65,0
89,2,60,63,5.99,0
74,9,66,43,8.2,1
62,5,37,80,8.59,1
56,4,97,36,9.58,1
65,1,90,90,5.23,0
47,7,32,69,8.79,1
68,3,32,84,8.43,0
65,6,50,51,4.38,0
49,5,21,55,6.32,0
65,5,35,32,5.7,0
73,5,28,89,5.83,0
90,1,92,77,9.9,1
80,1,57,33,7.86,0
46,3,94,56,8.31,0
43,4,73,98,9.86,1
97,5,75,87,6.26,1
92,2,64,59,8.81,1
89,8,53,78,6.61,1
84,2,28,99,9.22,1
50,9,27,35,5.08,0
68,2,26,81,9.69,0
95,9,55,23,5.31,1
75,7,37,64,5.96,0
64,8,22,47,8.54,1
60,2,47,85,6.36,0
96,7,89,50,7.65,1
75,6,63,22,6.67,0
49,4,40,27,8.45,0
76,7,47,43,5.37,0
48,4,73,34,4.35,0
63,2,73,62,5.8,0
74,7,84,50,6.85,1
88,8,40,92,5.01,1
74,2,32,64,6.13,0
87,5,76,85,6.4,1
75,1,68,27,4.34,0
57,7,73,90,7.5,1
88,8,29,76,9.31,1
78,6,72,99,4.91,1
71,5,63,49,7.59,1
63,6,66,93,7.99,1
62,2,72,37,6.52,0
71,1,93,88,8.21,1
76,7,65,58,6.46,1
51,7,32,79,7.03,0
88,2,56,62,4.04,0
94,2,43,64,8.15,0
52,1,21,42,7.97,0
62,8,33,88,4.23,0
64,8,29,25,6.21,0
74,1,54,75,9.87,1
80,8,44,23,6.52,0
69,9,22,42,7.01,1
56,4,36,25,9.46,0
88,1,31,51,8.3,0
59,1,73,37,7.49,0
87,3,43,34,8.79,0
64,5,48,59,9.19,1
61,5,62,92,6.74,1
52,9,44,93,6.85,1
98,2,79,25,6.32,0
58,2,84,82,9.8,1
88,6,47,86,8.18,1
75,9,35,30,4.5,0
51,1,66,62,9.18,0
80,9,77,36,6.88,1
58,9,95,23,4.41,0
51,9,46,82,7.3,1
48,5,72,87,6.5,1
46,9,61,60,9.27,1
67,4,78,24,5.22,0
53,2,66,51,8.96,0
70,6,53,89,7.35,1
91,4,56,54,4.33,0
58,6,25,41,9.83,1
97,3,26,84,7.08,0
86,6,44,41,5.75,0
55,2,52,30,6.82,0
92,2,74,96,9.15,1
44,9,77,22,5.83,0
74,7,26,28,5.16,0
51,3,76,79,4.77,0
64,1,31,95,5.79,0
91,8,35,33,8.68,1
98,6,99,37,6.83,1
60,7,62,92,5.36,1
75,9,96,42,5.0,1
92,5,26,93,6.0,1
62,1,70,66,9.64,0
55,7,92,88,6.06,1
96,5,51,66,9.93,1
78,3,94,49,6.91,0
84,9,27,44,5.07,0
92,1,91,47,9.35,1
81,1,64,44,6.76,0
97,1,78,93,8.26,1
78,3,23,97,9.9,1
53,6,86,77,4.3,0
70,3,48,60,4.58,0
97,8,48,44,8.32,1
44,2,47,97,5.69,0
74,9,96,67,5.11,1
62,3,98,29,4.24,0
68,5,63,94,4.13,0
82,8,23,30,8.65,1
50,2,28,40,4.81,0
57,6,24,64,6.81,0
86,5,75,26,7.64,1
51,9,69,83,6.57,1
48,5,94,83,4.16,0
49,2,34,21,8.7,0
97,5,51,95,4.06,0
83,4,47,61,8.57,1
56,7,41,73,9.36,1
77,6,36,94,6.6,1
46,2,78,35,7.21,0
85,5,90,37,6.86,1
52,7,76,78,6.34,1
79,7,45,35,9.32,1
81,5,44,25,9.36,1
48,9,29,76,6.01,0
89,4,64,66,7.69,1
66,3,30,67,9.56,0
97,4,96,61,9.77,1
41,5,72,95,7.05,1
44,6,91,79,6.72,1
68,3,87,96,5.67,1
76,2,47,23,9.75,0
77,4,94,21,4.86,0
58,5,84,78,7.48,1
47,4,68,46,5.7,0
87,3,66,46,5.67,0
84,8,71,98,6.43,1
40,4,73,91,9.99,1
61,2,79,26,4.33,0
91,2,76,82,7.47,1
56,1,66,65,4.5,0
46,4,50,82,4.93,0
64,9,65,31,6.64,1
84,7,45,32,7.06,1
43,7,24,62,5.55,0
75,7,71,36,5.9,1
45,8,94,82,4.52,1
99,1,73,55,5.82,0
70,8,52,27,9.8,1
58,4,69,88,9.67,1
83,4,57,99,6.01,1
93,4,46,55,7.43,1
78,6,34,47,9.46,1
66,7,80,66,4.04,0
49,6,40,95,8.86,1
65,1,65,49,9.69,0
58,8,88,42,4.55,0
78,7,25,35,4.97,0
42,6,57,33,9.76,1
84,6,81,93,7.23,1
52,5,81,90,4.09,0
89,6,97,71,5.55,1
67,9,93,56,6.7,1
97,9,65,48,8.16,1
59,8,32,86,8.4,1
67,9,22,34,9.97,1
47,8,25,66,5.73,0
80,8,27,65,7.23,1
78,1,63,71,7.2,0
40,5,52,38,6.43,0
42,4,94,96,5.01,0
52,2,96,40,9.86,1
67,8,69,83,9.12,1
96,3,30,56,6.99,0
99,4,47,46,7.62,1
88,7,89,74,5.36,1
64,9,60,48,7.26,1
95,2,35,39,8.17,0
72,3,87,44,7.09,0
77,4,67,89,9.94,1
92,1,75,82,7.67,1
45,7,83,55,6.23,1
97,2,78,21,8.63,0
83,5,81,41,5.02,0
84,1,95,35,6.31,0
71,3,30,37,6.08,0
84,2,37,88,6.59,0
86,1,38,73,8.69,0
60,7,74,49,6.91,1
55,5,45,64,8.76,1
93,1,25,38,7.46,0
60,6,23,53,6.05,0
50,5,48,32,8.86,0
99,3,78,62,5.43,0
76,7,36,81,5.35,1
75,9,62,41,7.03,1
74,9,99,71,5.57,1
58,9,85,71,4.05,1
59,2,53,55,7.89,0
96,3,27,92,7.07,1
57,7,32,38,6.67,0
86,5,27,57,9.8,1
80,2,84,89,7.43,1
88,3,62,98,9.18,1
53,6,58,76,4.84,0
54,7,78,39,7.42,1
70,9,63,28,9.21,1
40,1,28,51,7.5,0
92,7,56,23,8.31,1
93,8,93,69,6.23,1
93,3,55,24,4.55,0
42,4,47,39,6.75,0
55,6,61,94,6.37,1
62,7,62,56,9.2,1
96,4,61,41,5.46,0
50,8,85,77,9.8,1
51,5,74,87,9.75,1
49,1,91,63,5.49,0
71,4,67,53,6.09,0
55,3,41,96,9.37,1
47,9,46,61,9.8,1
77,8,86,28,6.66,1
51,1,32,26,5.93,0
63,6,64,87,7.16,1
67,9,29,38,8.13,1
92,7,28,50,5.64,0
47,4,73,54,8.42,0
97,1,46,76,4.31,0
67,2,53,80,4.3,0
75,5,20,50,6.32,0
65,5,51,72,6.12,0
47,8,90,51,5.89,1
97,6,86,85,6.95,1
99,8,39,78,5.92,1
89,2,54,29,5.15,0
67,3,97,21,5.86,0
67,6,36,85,9.85,1
76,3,37,79,6.47,0
80,6,64,36,6.67,0
75,6,72,35,7.46,1
66,2,87,35,9.9,1
93,7,84,65,5.45,1
56,2,20,58,8.09,0
48,6,77,50,8.3,1
72,1,45,20,7.64,0
92,3,39,30,4.53,0
59,2,29,23,8.06,0
52,7,78,90,4.38,1
67,4,94,45,7.58,1
87,8,60,69,8.44,1
68,6,24,31,5.27,0
52,4,84,94,9.05,1
85,5,36,84,4.18,0
74,9,41,66,9.06,1
45,7,60,72,6.76,1
57,9,87,90,5.31,1
90,7,88,21,4.8,0
44,1,30,43,9.72,0
86,8,75,23,4.44,0
64,4,70,38,5.19,0
41,3,40,45,6.09,0
49,7,95,94,7.72,1
95,3,45,59,7.27,0
69,8,38,69,4.75,0
89,6,79,62,5.74,1
98,5,90,94,5.43,1
84,4,66,86,5.28,0
44,8,90,31,6.47,1
94,8,45,86,8.22,1
95,1,59,46,5.3,0
72,9,24,73,6.2,1
93,5,40,85,6.35,1
40,4,97,68,9.86,1
57,6,23,35,9.73,0
71,6,42,21,8.8,0
86,2,34,79,5.45,0
88,8,27,73,4.41,0
50,7,60,49,5.9,0
60,1,38,57,5.6,0
65,5,65,47,7.04,0
64,6,47,44,8.67,1
61,4,87,29,9.15,1
98,2,34,79,9.07,1
66,4,56,61,6.16,0
88,1,20,59,8.12,0
52,7,86,96,5.88,1
72,2,43,61,4.37,0
73,2,46,66,8.21,0
80,9,59,56,4.06,1
74,5,82,99,6.46,1
40,2,80,41,5.98,0
60,9,55,76,8.16,1
87,9,43,46,8.6,1
94,1,43,60,5.82,0
45,3,23,99,8.87,0
67,4,86,53,5.76,0
56,7,53,51,6.68,0
44,4,76,85,8.36,1
70,2,68,31,8.16,0
44,7,72,59,9.92,1
77,6,42,92,5.35,1
42,3,88,95,7.97,1
92,6,72,92,7.66,1
62,6,81,29,9.49,1
76,5,60,67,4.94,0
92,4,76,39,8.51,1
76,1,79,58,7.41,0
49,6,73,79,5.65,0
49,2,89,85,6.85,0
58,3,76,84,6.0,0
56,8,29,70,7.48,1
60,6,59,55,9.33,1
53,3,26,43,7.42,0
48,7,57,46,7.79,1
85,4,80,21,7.11,0
40,9,22,50,4.31,0
90,5,70,76,5.4,1
84,3,66,97,6.95,1
52,2,87,85,5.86,0
